trade_number,prediction,confidence,result,pnl,balance
82,0,0.95558333,WIN,19.992,2189.4040000000005
83,0,0.95308846,WIN,19.992,2209.3960000000006
84,0,0.974447,WIN,19.992,2229.388000000001
85,0,0.9608264,LOSS,-10.004,2219.384000000001
86,0,0.96230054,WIN,19.992,2239.376000000001
87,0,0.96822035,WIN,19.992,2259.3680000000013
88,1,0.9529918,LOSS,-10.004,2249.3640000000014
89,0,0.97533834,WIN,19.992,2269.3560000000016
90,0,0.96070814,WIN,19.992,2289.348000000002
91,0,0.95584434,WIN,19.992,2309.340000000002
92,0,0.95057863,WIN,19.992,2329.332000000002
93,0,0.9534085,WIN,19.992,2349.3240000000023
94,0,0.95893115,WIN,19.992,2369.3160000000025
95,0,0.95498145,WIN,19.992,2389.3080000000027
96,0,0.9531309,LOSS,-10.004,2379.304000000003
97,0,0.9799498,LOSS,-10.004,2369.300000000003
98,0,0.9617068,LOSS,-10.004,2359.296000000003
99,0,0.96069306,WIN,19.992,2379.288000000003
100,0,0.9671993,LOSS,-10.004,2369.2840000000033
101,0,0.9674856,WIN,19.992,2389.2760000000035
102,0,0.9658819,LOSS,-10.004,2379.2720000000036
103,0,0.961468,WIN,19.992,2399.2640000000038
104,0,0.96749103,WIN,19.992,2419.256000000004
105,0,0.96555156,WIN,19.992,2439.248000000004
106,0,0.97207797,LOSS,-10.004,2429.2440000000042
107,0,0.9575775,WIN,19.992,2449.2360000000044
108,0,0.95057386,WIN,19.992,2469.2280000000046
109,0,0.9560392,WIN,19.992,2489.220000000005
110,0,0.9518676,WIN,19.992,2509.212000000005
111,1,0.95875055,WIN,19.992,2529.204000000005
112,0,0.9689505,WIN,19.992,2549.1960000000054
113,0,0.96364886,WIN,19.992,2569.1880000000056
114,0,0.95314777,WIN,19.992,2589.1800000000057
115,0,0.9635522,WIN,19.992,2609.172000000006
116,0,0.9690322,LOSS,-10.004,2599.168000000006
117,0,0.9508354,WIN,19.992,2619.160000000006
